@RELATION avaluosdepartamentos_entidad_09_municipio_004_clase_todos
@ATTRIBUTE LONGITUD NUMERIC 
@ATTRIBUTE LATITUD NUMERIC 
@ATTRIBUTE CLAVE_ENTIDAD_FEDERATIVA_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CLAVE_MUNICIPIO_UBICACION_INMUEBLE NUMERIC 
@ATTRIBUTE CAT_TIPO_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_NIVEL_INFRAESTR_URBANA NUMERIC 
@ATTRIBUTE CVE_NIVEL_EQUIPAMIENTO_URBANO NUMERIC 
@ATTRIBUTE CVE_CLASE_INMUEBLE NUMERIC 
@ATTRIBUTE CVE_USO_CONSTRUCCION NUMERIC 
@ATTRIBUTE FACTOR_RESULTANTE_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_EDAD_PRIVATIVAS NUMERIC 
@ATTRIBUTE FACTOR_CONSERVACION_PRIVATIVAS NUMERIC 
@ATTRIBUTE CVE_CLASE_GENERAL_INMUEBLES_ZONA NUMERIC 
@ATTRIBUTE CVE_NIVEL_SOCIO_ECONOMICO_ZONA NUMERIC 
@ATTRIBUTE CVE_CLASIFICACION_ZONA NUMERIC 
@ATTRIBUTE CVE_DENSIDAD_POBLACION NUMERIC 
@ATTRIBUTE CVE_REF_PROXIMIDAD_URBANA NUMERIC 
@ATTRIBUTE CVE_UBICACION_INMUEBLE_TERRENO NUMERIC 
@ATTRIBUTE DISTANCIA_UNIVERSIDAD NUMERIC 
@ATTRIBUTE DISTANCIA_CENTRO_DEPORTIVO NUMERIC 
@ATTRIBUTE DISTANCIA_CANCHAS_DEPORTIVAS NUMERIC 
@ATTRIBUTE DISTANCIA_MERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_PARQUES NUMERIC 
@ATTRIBUTE DISTANCIA_PLAZASPUBLICAS NUMERIC 
@ATTRIBUTE DISTANCIA_JARDINES NUMERIC 
@ATTRIBUTE DISTANCIA_SUPERMERCADOS NUMERIC 
@ATTRIBUTE DISTANCIA_IGLESIA NUMERIC 
@ATTRIBUTE NUMERO_ESTACIONAMIENTOS NUMERIC 
@ATTRIBUTE NUMERO_RECAMARAS NUMERIC 
@ATTRIBUTE SUPERFICIE_VENDIBLE NUMERIC 
@ATTRIBUTE FZO NUMERIC 
@ATTRIBUTE FFR NUMERIC 
@ATTRIBUTE IMPORTE_TOTAL_ENFOQUE_DE_COSTOS NUMERIC 
@ATTRIBUTE VALOR_COMPARATIVO_INMUEBLE_M2 NUMERIC 
@ATTRIBUTE IMPORTE_VALOR_CONCLUIDO NUMERIC 
@DATA 
-99.257749, 19.383906, 09, 004, 4, 3, 4.0, 5.0, 1.0, 0.73, 0.73, 1.0, 4.0, 5.0, 3.0, 3.0, 2, 5, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2.0, 2.0, 157.56, 1.20, 1.00, 2477416.5, 29131.81, 4590000.0 
-99.2718673, 19.3668627, 09, 004, 4, 4, 4.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 5.0, 2.0, 6.0, 1, 5, 300.0, 300.0, 300.0, 700.0, 10.0, 1000.0, 10.0, 300.0, 300.0, 1.0, 1.0, 43.47, 1.20, 1.00, 1222331.49, 38552.23, 1678000.0 
-99.283782, 19.356461, 09, 004, 4, 3, 4.0, 6.0, 1.0, 1.0, 1.0, 1.0, 6.0, 5.0, 2.0, 4.0, 3, 4, 1200.0, 1200.0, 1200.0, 1200.0, 1000.0, 1000.0, 1000.0, 700.0, 1000.0, 3.0, 2.0, 119.71, 1.20, 1.00, 3090025.11, 36229.85, 4334000.0 
-99.2815, 19.3588333, 09, 004, 4, 3, 4.0, 5.0, 1.0, 0.94, 0.96, 0.98, 5.0, 5.0, 13.0, 3.0, 3, 5, 2000, 2000, 2000, 1500.0, 1200.0, 1300.0, 2000, 2000, 750.0, 3.0, 1.0, 274.97, 1.00, 1.00, 4039756.67, 18250.00, 5018000.0 
-99.266116, 19.346982, 09, 004, 4, 3, 4.0, 6.0, 1.0, 1.0, 1.0, 1.0, 5.0, 6.0, 2.0, 4.0, 3, 4, 1800.0, 995.0, 995.0, 1500.0, 560.0, 560.0, 560.0, 1460.0, 1400.0, 5.0, 3.0, 334.0, 1.20, 1.00, 11346207.44, 44552.31, 14896000.0 
-99.2820361, 19.3592111, 09, 004, 4, 4, 4.0, 6.0, 1.0, 1.0, 1.0, 1.0, 6.0, 6.0, 13.0, 5.0, 1, 5, 1200.0, 500.0, 500.0, 1000.0, 300.0, 500.0, 10.0, 1800.0, 800.0, 2.0, 2.0, 132.24, 1.00, 1.00, 3802640.09, 31368.34, 4148000.0 
-99.263764, 19.38612, 09, 004, 4, 3, 4.0, 5.0, 1.0, 0.93, 0.93, 1.0, 4.0, 5.0, 3.0, 4.0, 2, 5, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2000.0, 2.0, 3.0, 191.65, 1.20, 1.00, 5186608.78, 27358.1, 5243000.0 
-99.267777, 19.362043, 09, 004, 4, 4, 4.0, 5.0, 1.0, 0.87, 0.87, 1.0, 5.0, 6.0, 2.0, 5.0, 3, 3, 900.0, 1200.0, 1200.0, 2000, 900.0, 900.0, 900.0, 900.0, 600.0, 1.0, 1.0, 85.03, 1.20, 1.00, 2081887.68, 42745.36, 3475000.0 
-99.2828083, 19.3623417, 09, 004, 4, 4, 3.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 5.0, 2.0, 5.0, 2, 5, 900.0, 200.0, 300.0, 500.0, 200.0, 2000, 100.0, 500.0, 450.0, 3.0, 3.0, 144.0, 1.20, 1.00, 3712783.1, 27352.11, 3939000.0 
-99.2665278, 19.3466944, 09, 004, 4, 3, 4.0, 5.0, 1.0, 1.0, 1.0, 1.0, 5.0, 6.0, 2.0, 4.0, 3, 5, 1200.0, 1200.0, 200.0, 2000, 200.0, 1800.0, 200.0, 1500.0, 1300.0, 3.0, 4.0, 267.0, 1.00, 1.00, 7291059.22, 35439, 9462000.0 
