SUPERFICIE_TERRENO,SUPERFICIE_PRIVATIVAS,NUMERO_RECAMARAS,NUMERO_RECAMARAS,NUMERO_BANIOS,NUMERO_MEDIOS_BANOS,NUMERO_ESTACIONAMIENTOS,CVE_CLASE_INMUEBLE,CVE_ESTADO_CONSERVACION,ELEVADOR,INDICE_SATURACION_ZONA,CVE_DENSIDAD_HABITACIONAL,DENSIDAD_HABITACIONAL_VIVIENDAS,CVE_NIVEL_SOCIO_ECONOMICO_ZONA,NIVEL_INFRAESTRUCTURA,CVE_NIVEL_INFRAESTR_URBANA,CVE_NIVEL_EQUIPAMIENTO_URBANO,DISTANCIA_IGLESIA,DISTANCIA_BANCOS,DISTANCIA_CANCHAS_DEPORTIVAS,DISTANCIA_CENTRO_DEPORTIVO,DISTANCIA_PLAZASPUBLICAS,DISTANCIA_PARQUES,DISTANCIA_JARDINES,DISTANCIA_MERCADOS,DISTANCIA_SUPERMERCADOS,DISTANCIA_LOCALES_COMERCIALES,DISTANCIA_SERVICIOS_SALUD_PRIMER_NIVEL_,DISTANCIA_SERVICIOS_SALUD_SEGUNDO_NIVEL_,DISTANCIA_SERVICIOS_SALUD_TERCER_NIVEL_,DISTANCIA_ESCUELAS_PRIMARIAS,DISTANCIA_ESCUELAS_SECUNDARIAS,DISTANCIA_ESCUELAS_PREPARATORIA,DISTANCIA_UNIVERSIDAD,LONGITUD,LATITUD,codigo_postal_ubicacion_inmueble,CAT_REGIMEN_PROPIEDAD,CAT_TIPO_INMUEBLE,id2,IM_VENTAS_VALOR_UNITARIO_APLICABLE_AVALUO_M2,IM_VENTAS_VALOR_MERCADO_INMUEBLE
3288.59,40.41,1,1,1,0,0,3,6,0,60,4,132,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1234688,20.6752873,77723,2,4,62975,8120.00,328129.20
2931.13,43.71,1,1,1,0,0,3,6,0,60,4,119,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1240347,20.6756544,77723,2,4,73980,7850.00,343123.50
2931.13,43.71,1,1,1,0,0,3,6,0,60,4,119,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1237884,20.6761218,77723,2,4,72009,8130.00,355362.30
5321.78,43.71,1,1,1,0,0,3,6,0,60,4,132,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1244404,20.6760131,77723,2,4,73320,7850.00,343123.50
5321.78,40.41,1,1,1,0,0,3,6,0,60,4,132,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1244227,20.6760391,77723,2,4,73471,8120.00,328129.20
111.43,87.22,3,3,3,0,1,4,6,0,70,4,650,3,100.00,3,4,2000,1300,200,0,0,100,100,1300,0,500,1500,1500,1500,750,750,1600,1800,-87.0933611,20.6592586,77723,2,3,73930,9650.00,990000.00
8066,44.1,2,2,1,0,1,3,6,2,70,3,40,3,90.00,3,3,2000,0,2000,0,2000,2000,2000,2000,0,2000,2000,2000,0,2000,2000,0,0,87.1140040,20.6766315,77723,2,3,14046,9287.35,410000
1683.16,44.1,2,2,1,0,1,3,6,2,70,1,40,3,90.00,3,3,2000,0,2000,0,2000,2000,2000,2000,0,2000,2000,2000,0,2000,2000,0,0,87.1145800,20.6771970,77723,2,3,9708,10489.02,462565.78
50.69,49.87,2,2,1,0,1,4,6,2,90,2,80,4,100.00,3,4,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,87.0968320,20.6614450,77723,2,4,47043,11000,549000
4081.46,43.71,1,1,1,0,0,3,6,0,60,4,123,2,80,3,1,0,0,500,0,0,500,500,0,0,0,2000,0,0,2000,0,0,0,-87.1228681,20.6747571,77723,2,4,32614,7900.00,345309.00
