Fecha_experimento,Clave_experimento,Archivo_CSV_ejemplos,CP,Tiempo_entrenamiento,N_entrenamiento,N_pruebas,EPOCHS,N_neuronas_entrada,N_capas_ocultas,N_neuronas_ocultas,N_neuronas_salida,Promedio_costo_total,Error_promedio_costo_total,Promedio_costo_m2,Error_promedio_costo_m2,Error_min_costo_total,Error_max_costo_total,Error_varianza_costo_total,Error_desviacion_std_costo_total,Error_min_costo_m2,Error_max_costo_m2,Error_varianza_costo_m2,Error_desviacion_std_costo_m2
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold5_L1_H27,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,25.396841049194336,72,8,500,35,1,27,2,3252447.0838888888,880687.8007718107,29175.348055555558,2985.9015426877554,942.13292277045548,3797869.6071342193,693275996548.66687,832631.9694490879,42.486542030223063,9526.7860371515599,4580867.4435312962,2140.2961111797817
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold6_L1_H27,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,26.31910014152527,72,8,500,35,1,27,2,3199458.7877777778,948566.54509434348,29606.940833333338,5113.7298714404278,35728.948675070889,3844661.002927281,696644337892.10583,834652.2257156605,170.38854800800982,13338.729937650762,10921967.892899461,3304.8400706992556
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold7_L1_H27,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,23.620245933532715,72,8,500,35,1,27,2,3228891.3181944443,1194399.7512833113,29476.436944444446,4114.4667304741488,43890.618214904796,3990525.0753457863,985247082853.99524,992596.1328022567,29.997046603944909,14779.889167420775,10469443.159680504,3235.6518909920615
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold8_L1_H27,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,23.285303831100464,72,8,500,35,1,27,2,3097800.2308333335,869836.54466839938,29619.943888888887,3776.851464342637,6573.884950718144,3939344.2607876603,803129918687.08899,896175.160717529,69.436139360310335,15770.308612732739,11747610.393903753,3427.4787226040885
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold9_L1_H27,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,23.41610312461853,72,8,500,35,1,27,2,3195317.5198611114,923129.87145409465,29205.686250000002,3418.4236461854985,3415.1670163562521,4071142.6745732659,744324201791.07935,862742.2568711233,2.1496878357393143,10544.347753742833,9301813.7691737376,3049.88750106848
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold0_L1_H28,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,22.417840003967285,72,8,500,35,1,28,2,3188878.8987500002,1132939.9340243181,29237.732083333332,4080.2753159589743,663.55927810724825,5128001.0592781072,922885609096.01013,960669.3547188909,71.021205981916864,14876.72251480235,9362927.2175875902,3059.8900662585233
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold1_L1_H28,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,21.704104900360107,72,8,500,35,1,28,2,3131633.4026388889,939727.4293477817,29064.086666666666,3628.7745159374699,1117.9417678003665,4572934.5195372058,938447702451.52197,968735.1043765896,16.943988492846984,10515.447831884143,7944386.9017994953,2818.5788798256995
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold2_L1_H28,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,22.180715084075928,72,8,500,35,1,28,2,3192310.7302777781,967465.13168393506,28933.820416666669,3817.4982215051632,3741.2352409374435,4109595.0489831981,820154381553.41711,905623.7527546509,59.655956342328864,10991.464349769558,8351709.7651075888,2889.9324845240917
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold3_L1_H28,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,23.863574028015137,72,8,500,35,1,28,2,3156379.3809722224,963529.42898008868,29175.294444444447,4128.6999444115627,10009.978117882507,4799418.7577106655,901212276609.50659,949322.0089145235,49.229809010859753,13555.32302563377,11237902.47750828,3352.298088999288
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold4_L1_H28,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,21.927907943725586,72,8,500,35,1,28,2,3161577.8118055556,818898.8020729206,29441.04791666667,3696.6389748236647,13784.944028167054,3536881.3368350342,479931658542.84076,692771.0000735024,213.69342179871819,13641.602158816475,7649996.3791126888,2765.8626826205036
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold5_L1_H28,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,26.274446964263916,72,8,500,35,1,28,2,3252447.0838888888,984973.23963895836,29175.348055555558,3934.3649647590159,64.11226812005043,4357158.260784559,862998201923.02747,928976.9652273556,258.37075135890336,11963.282368336131,9185188.0553937368,3030.7075172958766
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold6_L1_H28,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,22.690723180770874,72,8,500,35,1,28,2,3199458.7877777778,902666.80935907003,29606.940833333338,3924.2882071619661,3344.4558124751784,4110392.9404878365,687151174404.0813,828945.8211512265,59.307663832129037,12327.503039482799,9461588.0990242418,3075.969456776878
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold7_L1_H28,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,26.644334077835083,72,8,500,35,1,28,2,3228891.3181944443,998711.50952061696,29476.436944444446,3904.5005709487045,21749.437344688457,4772941.8462054422,1001920532811.301,1000959.8057920713,89.82036851450539,14626.086617642204,10144027.093302185,3184.96893129308
27/09/2016,cdmx_abril_2015-03103-03100-03104-03200-03230-03240_N80_E500_10fold8_L1_H28,cdmx_abril_2015,-03103-03100-03104-03200-03230-03240,25.64029812812805,72,8,500,35,1,28,2,3097800.2308333335,935140.15359520004,29619.943888888887,4270.6058914124533,9834.9030204140581,4408171.712225195,792866223509.97327,890430.3585963213,45.101322168433398,11289.003058691913,9658951.9543910734,3107.8854474370632
